Date,Price
30-Nov-21,78.25
29-Nov-21,78.47
26-Nov-21,78.35
25-Nov-21,78.35
24-Nov-21,78.98
23-Nov-21,78.92
22-Nov-21,78.75
19-Nov-21,79.12
18-Nov-21,79.37
17-Nov-21,79.28
16-Nov-21,79.62
15-Nov-21,79.89
12-Nov-21,79.68
11-Nov-21,79.46
10-Nov-21,80.06
9-Nov-21,80.38
8-Nov-21,80.35
5-Nov-21,80.24
4-Nov-21,80.27
3-Nov-21,80.69
2-Nov-21,80.56
1-Nov-21,80.86
29-Oct-21,80.71
28-Oct-21,80.99
27-Oct-21,80.92
26-Oct-21,80.7
25-Oct-21,80.73
22-Oct-21,80.85
21-Oct-21,80.83
20-Oct-21,81.21
19-Oct-21,80.91
18-Oct-21,80.79
15-Oct-21,80.83
14-Oct-21,80.84
13-Oct-21,80.35
12-Oct-21,80.22
11-Oct-21,80.09
8-Oct-21,80.18
7-Oct-21,79.66
6-Oct-21,79.42
5-Oct-21,79.49
4-Oct-21,79.43
1-Oct-21,79.06
30-Sep-21,78.86
29-Sep-21,78.37
28-Sep-21,78.82
27-Sep-21,79.18
24-Sep-21,78.99
23-Sep-21,79.02
22-Sep-21,78.31
21-Sep-21,77.99
20-Sep-21,77.98
17-Sep-21,78.3
16-Sep-21,78.86
15-Sep-21,79.19
14-Sep-21,78.77
13-Sep-21,79.05
10-Sep-21,78.79
9-Sep-21,78.95
8-Sep-21,78.77
7-Sep-21,79.07
6-Sep-21,79.07
3-Sep-21,79.83
2-Sep-21,79.68
1-Sep-21,79.24
31-Aug-21,79.29
30-Aug-21,79.31
27-Aug-21,79.22
26-Aug-21,78.83
25-Aug-21,79.41
24-Aug-21,79.41
23-Aug-21,79.04
20-Aug-21,78.03
19-Aug-21,77.96
18-Aug-21,79
17-Aug-21,79.17
16-Aug-21,79.53
13-Aug-21,79.9
12-Aug-21,79.81
11-Aug-21,79.95
10-Aug-21,79.85
9-Aug-21,79.5
6-Aug-21,79.65
5-Aug-21,79.99
4-Aug-21,79.74
3-Aug-21,79.72
2-Aug-21,79.95
30-Jul-21,80.14
29-Jul-21,80.32
28-Jul-21,79.83
27-Jul-21,79.35
26-Jul-21,79.69
23-Jul-21,79.58
22-Jul-21,79.59
21-Jul-21,79.6
20-Jul-21,78.86
19-Jul-21,78.45
16-Jul-21,79.28
15-Jul-21,79.42
14-Jul-21,79.91
13-Jul-21,79.91
12-Jul-21,80.27
9-Jul-21,80.32
8-Jul-21,79.81
7-Jul-21,80.11
6-Jul-21,80.25
5-Jul-21,80.25
2-Jul-21,81.14
1-Jul-21,80.38
30-Jun-21,80.65
29-Jun-21,80.64
28-Jun-21,81.03
25-Jun-21,81.34
24-Jun-21,81.15
23-Jun-21,81.26
22-Jun-21,81.26
21-Jun-21,80.9
18-Jun-21,80.21
17-Jun-21,80.9
16-Jun-21,81.48
15-Jun-21,82.07
14-Jun-21,82.35
11-Jun-21,82.27
10-Jun-21,82.65
9-Jun-21,82.59
8-Jun-21,82.57
7-Jun-21,82.74
4-Jun-21,82.77
3-Jun-21,82.58
2-Jun-21,83.07
1-Jun-21,82.83
31-May-21,82.83
28-May-21,82.82
27-May-21,82.87
26-May-21,82.5
25-May-21,82.87
24-May-21,83
21-May-21,82.87
20-May-21,82.92
19-May-21,82.45
18-May-21,82.89
17-May-21,82.84
14-May-21,82.62
13-May-21,82.21
12-May-21,82.44
11-May-21,82.63
10-May-21,82.63
7-May-21,82.41
6-May-21,82.28
5-May-21,81.52
4-May-21,81.25
3-May-21,81.44
30-Apr-21,81.36
29-Apr-21,81.41
28-Apr-21,81.17
27-Apr-21,80.61
26-Apr-21,80.7
23-Apr-21,80.16
22-Apr-21,79.96
21-Apr-21,80.02
20-Apr-21,79.3
19-Apr-21,79.8
16-Apr-21,79.97
15-Apr-21,79.75
14-Apr-21,79.88
13-Apr-21,79.79
12-Apr-21,79.62
9-Apr-21,79.8
8-Apr-21,79.61
7-Apr-21,79.31
6-Apr-21,79.56
5-Apr-21,79.83
2-Apr-21,79.83
1-Apr-21,79.7
31-Mar-21,79.6
30-Mar-21,79.21
29-Mar-21,79.43
26-Mar-21,79.34
25-Mar-21,79.32
24-Mar-21,79.49
23-Mar-21,79.46
22-Mar-21,79.84
19-Mar-21,79.99
18-Mar-21,80.09
17-Mar-21,80.61
16-Mar-21,80.34
15-Mar-21,80.14
12-Mar-21,80.13
11-Mar-21,79.78
10-Mar-21,79.22
9-Mar-21,79.12
8-Mar-21,78.94
5-Mar-21,79.02
4-Mar-21,78.97
3-Mar-21,79.01
2-Mar-21,79.14
1-Mar-21,79.09
26-Feb-21,78.5
25-Feb-21,79.37
24-Feb-21,79.93
23-Feb-21,79.41
22-Feb-21,79.26
19-Feb-21,79.32
18-Feb-21,78.88
