"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2021","95.99","96.22","96.64","95.52","-","-0.36%"
"Nov 29, 2021","96.34","96.07","96.44","96.07","-","0.26%"
"Nov 26, 2021","96.09","96.72","96.77","95.75","-","-0.71%"
"Nov 25, 2021","96.77","96.81","96.82","96.65","-","-0.10%"
"Nov 24, 2021","96.88","96.53","96.94","96.43","-","0.40%"
"Nov 23, 2021","96.49","96.46","96.61","96.31","-","-0.06%"
"Nov 22, 2021","96.55","96.07","96.55","96.04","-","0.54%"
"Nov 19, 2021","96.03","95.58","96.24","95.58","-","0.51%"
"Nov 18, 2021","95.54","95.80","95.84","95.52","-","-0.30%"
"Nov 17, 2021","95.83","95.94","96.24","95.73","-","-0.09%"
"Nov 16, 2021","95.92","95.47","95.98","95.40","-","0.53%"
"Nov 15, 2021","95.41","95.12","95.60","94.97","-","0.29%"
"Nov 12, 2021","95.13","95.18","95.26","95.00","-","-0.05%"
"Nov 11, 2021","95.18","94.84","95.20","94.84","-","0.35%"
"Nov 10, 2021","94.85","93.98","94.90","93.97","-","0.95%"
"Nov 09, 2021","93.96","94.09","94.15","93.88","-","-0.10%"
"Nov 08, 2021","94.05","94.25","94.38","93.99","-","-0.29%"
"Nov 05, 2021","94.32","94.34","94.62","94.19","-","-0.03%"
"Nov 04, 2021","94.35","93.86","94.47","93.82","-","0.51%"
"Nov 03, 2021","93.86","94.12","94.21","93.82","-","-0.24%"
"Nov 02, 2021","94.09","93.93","94.13","93.82","-","0.22%"
"Nov 01, 2021","93.88","94.13","94.31","93.86","-","-0.26%"
"Oct 29, 2021","94.12","93.36","94.30","93.32","-","0.83%"
"Oct 28, 2021","93.35","93.88","93.97","93.28","-","-0.49%"
"Oct 27, 2021","93.80","93.97","94.01","93.69","-","-0.16%"
"Oct 26, 2021","93.95","93.84","94.02","93.71","-","0.14%"
"Oct 25, 2021","93.81","93.66","93.96","93.48","-","0.18%"
"Oct 22, 2021","93.64","93.75","93.79","93.54","-","-0.14%"
"Oct 21, 2021","93.77","93.58","93.79","93.50","-","0.23%"
"Oct 20, 2021","93.56","93.81","93.88","93.54","-","-0.19%"
"Oct 19, 2021","93.73","93.95","93.95","93.50","-","-0.23%"
"Oct 18, 2021","93.95","93.95","94.17","93.87","-","0.02%"
"Oct 15, 2021","93.94","94.03","94.07","93.85","-","-0.02%"
"Oct 14, 2021","93.96","94.02","94.09","93.76","-","-0.13%"
"Oct 13, 2021","94.08","94.52","94.53","94.00","-","-0.46%"
"Oct 12, 2021","94.52","94.37","94.56","94.23","-","0.21%"
"Oct 11, 2021","94.32","94.10","94.40","94.03","-","0.26%"
"Oct 08, 2021","94.07","94.21","94.34","93.94","-","-0.16%"
"Oct 07, 2021","94.22","94.23","94.28","94.08","-","-0.05%"
"Oct 06, 2021","94.27","93.99","94.45","93.98","-","0.31%"
"Oct 05, 2021","93.97","93.83","94.07","93.81","-","0.21%"
"Oct 04, 2021","93.78","94.07","94.10","93.68","-","-0.28%"
